100	500
n002216	140	206
n002223	145	79
n002245	1	157
n002257	113	142
n002258	47	157
n002263	114	362
n002267	23	249
n002268	138	202
n002282	26	164
n002284	186	79
n002309	214	140
n002329	265	12
n002351	99	34
n002372	151	154
n002381	187	2
n002384	118	38
n002389	11	371
n002414	25	199
n002421	290	295
n002474	113	192
n002475	15	44
n002503	223	32
n002517	305	297
n002556	4	214
n002561	251	333
n002574	380	392
n002581	95	379
n002596	75	213
n002604	100	178
n002647	141	203
n002659	33	93
n002664	48	506
n002669	4	358
n002681	35	213
n002684	154	426
n002703	128	25
n002715	211	369
n002743	105	154
n002749	30	95
n002761	157	139
n002763	87	426
n002770	201	9
n002773	108	139
n002775	123	93
n002803	304	54
n002838	199	116
n002840	127	128
n002855	78	230
n002857	48	15
n002869	285	352
n002873	25	287
n002878	257	426
n002880	450	216
n002884	186	147
n002889	106	149
n002891	192	22
n002894	159	65
n003001	306	232
n003009	187	79
n003079	4	190
n003092	118	106
n003093	18	198
n003104	242	184
n003115	205	209
n003134	4	60
n003140	348	325
n003205	486	14
n003215	184	16
n003217	627	616
n003258	2	65
n003277	8	158
n003288	312	1
n003298	102	204
n003356	32	200
n003379	20	30
n003415	85	59
n003430	306	195
n003436	44	21
n003461	211	87
n003468	238	185
n003490	172	311
n003513	300	31
n003540	365	388
n003554	178	80
n003570	108	296
n003606	129	20
n003635	96	286
n003653	82	358
n003675	88	214
n003725	116	29
n003728	46	261
n003775	110	269
n003786	65	147
n003836	310	100
n003873	250	112
n003881	27	161
n003894	381	17
n003896	116	333
n003917	103	83
n003958	68	216
n004007	238	164
n004050	199	348
n004064	83	253
n004068	15	103
n004070	48	42
n004078	18	55
n004085	186	360
n004123	182	250
n004157	113	135
n004180	53	78
n004208	162	228
n004233	153	276
n004239	212	55
n004240	87	323
n004243	112	349
n004281	20	69
n004333	28	41
n004338	123	161
n004353	266	185
n004357	148	222
n004366	213	231
n004372	230	234
n004380	79	144
n004387	128	169
n004394	17	102
n004411	20	246
n004424	331	6
n004440	200	62
n004449	166	303
n004461	75	154
n004469	1	118
n004482	135	58
n004486	140	27
n004555	261	162
n004563	84	760
n004580	221	51
n004586	369	126
n004588	190	350
n004634	290	164
n004635	46	1
n004652	133	404
n004658	134	262
n004661	207	295
n004662	226	95
n004663	201	63
n004678	17	34
n004679	344	239
n004709	251	296
n004712	84	14
n004719	107	119
n004738	11	173
n004743	249	313
n004756	5	83
n004771	50	284
n004788	177	247
n004793	248	104
n004798	103	104
n004801	67	105
n004812	215	345
n004813	458	388
n004826	57	439
n004850	438	154
n004885	168	120
n004891	111	271
n004898	94	173
n004905	14	91
n004911	117	308
n004915	4	313
n004925	230	92
n004945	45	42
n004999	203	121
n005073	110	273
n005088	43	244
n005101	347	298
n005104	307	83
n005112	342	5
n005114	98	50
n005120	170	245
n005122	171	231
n005123	155	215
n005135	129	291
n005136	339	273
n005137	143	25
n005145	46	113
n005148	50	45
n005157	138	117
n005159	383	53
n005179	358	43
n005181	248	346
n005188	290	54
n005225	113	14
n005226	305	330
n005233	175	276
n005280	112	118
n005282	15	104
n005294	139	39
n005301	184	70
n005303	21	30
n005306	54	120
n005312	428	121
n005316	440	274
n005319	230	381
n005326	20	68
n005328	100	136
n005334	103	276
n005340	79	385
n005347	121	262
n005359	105	74
n005373	30	181
n005377	183	18
n005380	226	123
n005417	21	193
n005425	29	26
n005427	85	106
n005448	102	196
n005473	366	238
n005474	83	131
n005490	9	21
n005513	80	95
n005552	311	333
n005565	181	160
n005577	10	284
n005607	145	9
n005612	201	142
n005619	137	84
n005621	56	44
n005623	63	136
n005630	228	230
n005633	149	9
n005636	133	174
n005639	170	164
n005648	146	370
n005652	78	267
n005664	55	149
n005666	355	253
n005668	46	63
n005670	223	215
n005680	259	271
n005693	273	3
n005695	167	177
n005706	235	277
n005709	153	383
n005723	201	23
n005726	206	297
n005730	357	108
n005748	138	104
n005755	241	227
n005758	207	499
n005762	103	152
n005764	143	297
n005776	406	282
n005799	72	199
n005831	387	408
n005832	168	183
n005833	91	189
n005872	53	71
n005915	145	225
n005956	355	152
n005963	223	4
n005973	422	122
n006053	166	308
n006123	287	145
n006134	350	216
n006211	175	132
n006247	370	287
n006301	36	288
n006347	77	197
n006451	216	79
n006458	205	288
n006497	237	44
n006531	296	253
n006532	36	15
n006574	148	266
n006626	141	137
n006653	97	20
n006659	80	307
n006772	213	163
n006808	245	144
n006858	168	224
n006909	148	61
n006922	148	102
n006987	70	61
n006992	37	105
n007008	330	171
n007021	39	51
n007068	105	87
n007104	22	61
n007121	229	85
n007133	310	23
n007146	339	59
n007159	212	280
n007162	5	187
n007166	114	56
n007169	64	47
n007210	78	356
n007240	18	260
n007241	110	171
n007246	115	39
n007261	209	78
n007296	36	87
n007358	37	39
n007368	456	443
n007381	47	114
n007385	97	17
n007397	326	46
n007439	87	128
n007474	131	409
n007531	374	386
n007548	234	144
n007571	297	283
n007594	136	159
n007650	180	193
n007651	11	235
n007664	158	85
n007668	41	145
n007700	15	58
n007703	304	212
n007753	164	239
n007854	46	138
n007865	103	64
n007900	285	387
n007909	216	311
n007919	318	351
n007949	169	106
n007951	3	129
n008003	248	303
n008015	201	50
n008020	63	185
n008028	103	193
n008036	109	33
n008037	273	61
n008047	315	346
n008056	43	22
n008105	44	297
n008108	170	135
n008110	116	99
n008155	196	159
n008164	146	124
n008179	106	63
n008183	25	124
n008213	12	99
n008314	237	175
n008317	197	176
n008325	183	146
n008361	63	273
n008436	205	131
n008484	140	182
n008488	15	79
n008528	125	14
n008530	446	499
n008539	43	74
n008558	236	160
n008567	77	26
n008595	217	112
n008613	257	186
n008615	121	101
n008630	70	17
n008653	154	1
n008655	274	286
n008662	80	165
n008674	128	117
n008682	313	240
n008710	110	172
n008773	412	47
n008778	119	123
n008829	111	194
n008858	287	345
n008890	451	479
n008932	243	232
n008937	120	314
n008948	211	205
n008958	330	447
n008989	310	7
n009028	500	350
n009114	34	158
n009123	346	37
n009175	102	112
n009185	451	44
n009199	78	16
n009213	185	237
n009225	228	306
n009232	169	303
n009235	31	341
n009283	126	181
n009285	159	139
n009286	152	140
n009287	165	49
n009288	125	207
n009289	219	202
n009291	124	140
n009294	146	134
n000001	252	n001256	5
n000009	22	n005226	319
n000029	82	n002884	33
n000040	84	n008989	402
n000078	319	n004157	114
n000082	397	n005695	230
n000106	144	n003356	141
n000129	133	n008630	234
n000148	64	n003775	340
n000149	182	n007381	139
n000178	129	n000259	373
n000259	50	n004580	95
n000284	180	n004411	183
n000363	114	n005157	171
n000394	30	n008958	427
n000410	134	n001059	61
n000452	357	n004771	268
n000480	89	n004813	464
n000527	19	n003356	134
n000596	137	n009185	283
n000624	254	n006451	157
n000654	25	n004905	102
n000658	149	n001153	50
n000659	421	n001418	226
n000667	200	n009287	212
n000689	57	n004788	101
n000706	60	n003379	34
n000736	12	n008110	115
n000740	153	n004679	262
n000746	258	n005122	243
n000774	195	n005799	118
n000775	5	n003873	260
n000785	444	n008662	197
n000836	69	n007900	21
n000838	223	n002284	180
n000854	443	n000148	293
n000912	335	n003009	122
n000928	142	n007246	360
n000945	230	n000178	102
n000950	213	n004394	57
n000958	34	n004563	744
n000998	81	n001439	80
n001021	5	n002838	65
n001059	121	n006134	184
n001125	83	n005833	143
n001127	183	n002329	46
n001146	427	n008003	10
n001153	94	n002309	39
n001156	190	n008710	28
n001174	207	n000667	453
n001190	431	n001146	43
n001197	136	n003215	203
n001199	332	n008530	474
n001211	158	n007241	182
n001242	580	n002840	59
n001256	93	n007703	280
n001277	94	n001687	274
n001291	166	n004563	347
n001293	283	n000009	16
n001296	47	n004233	18
n001299	1	n005633	147
n001302	40	n003258	79
n001303	295	n002838	252
n001304	173	n007121	353
n001337	52	n006659	155
n001341	123	n001199	325
n001368	505	n001934	46
n001401	305	n001299	148
n001418	411	n008778	74
n001439	210	n005282	202
n001446	58	n000410	187
n001467	13	n001934	32
n001485	198	n002773	68
n001576	111	n000838	279
n001650	100	n001242	267
n001655	83	n002891	214
n001672	81	n004180	21
n001683	1	n002773	24
n001687	71	n001190	300
n001708	410	n005619	142
n001710	19	n006653	27
n001781	442	n002770	231
n001811	36	n004798	69
n001816	63	n009289	207
n001817	8	n002884	72
n001830	212	n002775	42
n001836	40	n007381	38
n001838	249	n000106	134
n001850	52	n008530	465
n001857	276	n003430	115
n001878	422	n002581	290
n001898	135	n004798	51
n001923	64	n004661	124
n001934	145	n007594	133
n001935	199	n003217	249
n001956	98	n008020	145
n001976	61	n002763	283
n002009	67	n007919	326
n002024	38	n004678	169
n002080	131	n009225	218
n002081	72	n008488	73
n002082	59	n006531	114
n002093	244	n009185	228
n002106	354	n008989	93
n002109	175	n008361	402
n002153	287	n005137	86
n002158	266	n003881	78
n002166	145	n000078	113
n002167	157	n004394	100
n002216	323	n002081	17
n002223	1	n002309	43
n002245	171	n000040	63
n002257	20	n005225	65
n002258	175	n005303	68
n002263	256	n004850	47
n002267	108	n006497	135
n002268	242	n001211	212
n002282	176	n005179	99
n002284	330	n009286	50
n002309	105	n007166	175
n002329	154	n009123	307
n002351	61	n000689	368
n002372	166	n003298	10
n002381	176	n000836	5
n002384	83	n002158	97
n002389	190	n007531	156
n002414	140	n001857	80
n002421	78	n003958	185
n002474	221	n000746	322
n002475	59	n000740	80
n002503	177	n004738	427
n002517	288	n003635	132
n002556	91	n001277	65
n002561	92	n004281	136
n002574	80	n006532	190
n002581	130	n001296	86
n002596	154	n005776	21
n002604	60	n001830	292
n002647	246	n005122	49
n002659	120	n001838	128
n002664	190	n004208	78
n002669	78	n005619	220
n002681	232	n002166	96
n002684	263	n003513	82
n002703	232	n003775	89
n002715	76	n005347	314
n002743	209	n008558	271
n002749	175	n004679	339
n002761	102	n004788	78
n002763	222	n000596	193
n002770	83	n004712	298
n002773	77	n003001	222
n002775	32	n007296	23
n002803	344	n000945	348
n002838	317	n006497	20
n002840	52	n002258	205
n002855	417	n000178	71
n002857	124	n002581	161
n002869	160	n005963	24
n002873	128	n007146	144
n002878	475	n005621	134
n002880	207	n007548	168
n002884	53	n002153	182
n002889	83	n002703	56
n002891	117	n005226	57
n002894	101	n001190	285
n003001	443	n002703	134
n003009	175	n005282	214
n003079	162	n006626	319
n003092	123	n002389	25
n003093	99	n000774	209
n003104	118	n000928	78
n003115	104	n003468	16
n003134	172	n001304	170
n003140	382	n006659	39
n003205	133	n001935	46
n003215	45	n006458	263
n003217	383	n001439	260
n003258	194	n005136	140
n003277	189	n000284	50
n003288	38	n008179	237
n003298	406	n008613	136
n003356	123	n005652	204
n003379	26	n004635	165
n003415	249	n005652	88
n003430	389	n001127	265
n003436	53	n002109	129
n003461	188	n002475	151
n003468	255	n009185	382
n003490	270	n004085	194
n003513	265	n003873	265
n003540	338	n005668	33
n003554	142	n000912	276
n003570	357	n003288	47
n003606	184	n003461	267
n003635	49	n007397	379
n003653	448	n004394	176
n003675	151	n004915	77
n003725	137	n005621	169
n003728	329	n007531	220
n003775	21	n004905	189
n003786	106	n002389	240
n003836	370	n001368	200
n003873	58	n005112	225
n003881	147	n006808	80
n003894	40	n009213	294
n003896	156	n002770	233
n003917	39	n002840	194
n003958	158	n007241	1
n004007	259	n004678	3
n004050	416	n001923	152
n004064	281	n004563	238
n004068	22	n004662	86
n004070	134	n005188	365
n004078	173	n000774	11
n004085	120	n001687	187
n004123	127	n004945	186
n004157	99	n004588	305
n004180	161	n005748	105
n004208	167	n005181	68
n004233	117	n003468	58
n004239	91	n001878	124
n004240	364	n002503	13
n004243	299	n005088	178
n004281	95	n002556	21
n004333	98	n001811	169
n004338	265	n003570	206
n004353	158	n005334	300
n004357	183	n000078	296
n004366	51	n004372	35
n004372	106	n004588	330
n004380	167	n007133	315
n004387	174	n005680	181
n004394	166	n008958	382
n004411	55	n005693	71
n004424	30	n005607	164
n004440	214	n009225	70
n004449	18	n005619	164
n004461	319	n007146	246
n004469	20	n004588	370
n004482	163	n004885	75
n004486	21	n007385	104
n004555	41	n000001	48
n004563	283	n004068	33
n004580	139	n009289	68
n004586	352	n004563	201
n004588	277	n009288	119
n004634	150	n006134	139
n004635	174	n007241	71
n004652	201	n003917	77
n004658	34	n006909	251
n004661	86	n005758	79
n004662	229	n002596	178
n004663	117	n002309	110
n004678	206	n000009	100
n004679	149	n003134	25
n004709	223	n005179	222
n004712	130	n005652	204
n004719	260	n005764	116
n004738	320	n009175	29
n004743	219	n003415	111
n004756	80	n005282	52
n004771	452	n005137	146
n004788	226	n004338	268
n004793	182	n004661	204
n004798	139	n005136	81
n004801	19	n003277	109
n004812	59	n000736	252
n004813	126	n004424	105
n004826	564	n008528	127
n004850	100	n001125	43
n004885	310	n003873	53
n004891	257	n001710	25
n004898	171	n003873	376
n004905	67	n000284	9
n004911	154	n001817	88
n004915	263	n008015	155
n004925	100	n004064	100
n004945	315	n005427	151
n004999	35	n006347	107
n005073	107	n001341	242
n005088	146	n004068	59
n005101	149	n009291	146
n005104	159	n003554	370
n005112	276	n007919	124
n005114	110	n004798	110
n005120	297	n002803	245
n005122	221	n001781	422
n005123	274	n000259	268
n005135	284	n002309	48
n005136	248	n002838	24
n005137	22	n000736	282
n005145	10	n005963	230
n005148	114	n008937	476
n005157	95	n006922	236
n005159	266	n006987	50
n005179	287	n005326	26
n005181	59	n004338	372
n005188	230	n002503	155
n005225	163	n002894	333
n005226	31	n009225	459
n005233	120	n001153	196
n005280	131	n000624	70
n005282	188	n008958	201
n005294	133	n008164	222
n005301	54	n004372	251
n005303	20	n001817	183
n005306	163	n001199	39
n005312	397	n002503	94
n005316	406	n000736	335
n005319	371	n005490	463
n005326	77	n000106	211
n005328	182	n007474	248
n005334	524	n002284	206
n005340	42	n001341	74
n005347	15	n004563	180
n005359	171	n003728	212
n005373	169	n007594	10
n005377	14	n001211	211
n005380	151	n005666	43
n005417	67	n004387	53
n005425	179	n001838	113
n005427	181	n002223	160
n005448	74	n005726	407
n005473	388	n004679	274
n005474	101	n007909	267
n005490	177	n005159	69
n005513	165	n002268	236
n005552	284	n004678	73
n005565	60	n002372	150
n005577	174	n003468	8
n005607	332	n005709	287
n005612	357	n004793	372
n005619	263	n003379	131
n005621	72	n005282	105
n005623	175	n005137	147
n005630	310	n003896	375
n005633	43	n005282	69
n005636	334	n007210	341
n005639	57	n000706	167
n005648	147	n001293	270
n005652	244	n007169	85
n005664	231	n003540	364
n005666	114	n004243	235
n005668	115	n008179	128
n005670	128	n002659	202
n005680	85	n000148	183
n005693	321	n005473	44
n005695	29	n001242	491
n005706	206	n002475	94
n005709	4	n002082	197
n005723	395	n002517	268
n005726	230	n002803	66
n005730	170	n003298	157
n005748	119	n004461	127
n005755	95	n001153	189
n005758	535	n002669	16
n005762	155	n006808	285
n005764	37	n004353	241
n005776	35	n002647	117
n005799	217	n003258	57
n005831	11	n003786	212
n005832	113	n005758	185
n005833	30	n009185	283
n005872	10	n008020	52
n005915	256	n005448	190
n005956	373	n005427	108
n005963	219	n004756	128
n005973	223	n007121	344
n006053	360	n000836	60
n006123	348	n005755	112
n006134	183	n001446	299
n006211	171	n005373	264
n006247	37	n005145	71
n006301	454	n003836	212
n006347	225	n001174	221
n006451	145	n005312	474
n006458	132	n001811	211
n006497	131	n006808	129
n006531	370	n003786	193
n006532	8	n008615	184
n006574	348	n000284	184
n006626	241	n002258	84
n006653	94	n006922	125
n006659	11	n004678	89
n006772	119	n008558	46
n006808	167	n002669	84
n006858	60	n007668	16
n006909	187	n005417	85
n006922	86	n008613	212
n006987	77	n005319	472
n006992	27	n002475	1
n007008	110	n009283	107
n007021	57	n000363	43
n007068	122	n004719	113
n007104	164	n006909	167
n007121	390	n002106	24
n007133	18	n005101	171
n007146	217	n002556	20
n007159	363	n002223	100
n007162	268	n007021	26
n007166	213	n008662	194
n007169	37	n003430	12
n007210	137	n005280	175
n007240	239	n008858	317
n007241	189	n007900	366
n007246	334	n008183	169
n007261	25	n009213	32
n007296	13	n003092	106
n007358	67	n004588	203
n007368	476	n008436	387
n007381	133	n007368	219
n007385	45	n004915	55
n007397	110	n004563	753
n007439	26	n005448	51
n007474	198	n004486	77
n007531	182	n008613	109
n007548	5	n008047	121
n007571	239	n002869	16
n007594	92	n006772	105
n007650	93	n006772	428
n007651	56	n003958	87
n007664	50	n000009	102
n007668	121	n005833	3
n007700	16	n005513	193
n007703	278	n003554	248
n007753	384	n005101	69
n007854	236	n003298	110
n007865	154	n002857	310
n007900	101	n007159	350
n007909	182	n001021	24
n007919	500	n009286	225
n007949	42	n002869	228
n007951	120	n002167	10
n008003	347	n007162	219
n008015	22	n000736	73
n008020	33	n000838	263
n008028	74	n004486	71
n008036	64	n007474	32
n008037	95	n009232	239
n008047	248	n005762	156
n008056	314	n002857	145
n008105	282	n002761	41
n008108	194	n007439	2
n008110	135	n004850	282
n008155	103	n005233	186
n008164	109	n007210	355
n008179	124	n002216	288
n008183	345	n000040	126
n008213	249	n007385	134
n008314	217	n004449	117
n008317	47	n008567	58
n008325	219	n001337	47
n008361	499	n004157	105
n008436	144	n004652	122
n008484	212	n009291	164
n008488	101	n004078	165
n008528	134	n002581	250
n008530	489	n005474	173
n008539	160	n004679	387
n008558	98	n000667	51
n008567	121	n004007	318
n008595	159	n001683	222
n008613	105	n008662	203
n008615	264	n005101	301
n008630	195	n000596	203
n008653	8	n001923	93
n008655	21	n002268	204
n008662	4	n002166	75
n008674	37	n005148	109
n008682	294	n002556	123
n008710	334	n002684	426
n008773	314	n008682	122
n008778	39	n008890	185
n008829	219	n005326	95
n008858	165	n004915	293
n008890	100	n000658	272
n008932	30	n002838	382
n008937	83	n003896	73
n008948	29	n005303	203
n008958	283	n002763	162
n008989	10	n005377	255
n009028	156	n003217	384
n009114	16	n002596	65
n009123	472	n003430	1
n009175	104	n003134	171
n009185	229	n005709	233
n009199	135	n004449	117
n009213	283	n004180	253
n009225	379	n004387	41
n009232	181	n000078	165
n009235	115	n000658	440
n009283	40	n005316	91
n009285	59	n009028	219
n009286	208	n001341	109
n009287	164	n004891	284
n009288	26	n008488	266
n009289	72	n002263	238
n009291	80	n005347	260
n009294	141	n009028	187
n000001	91	360
n000009	50	10
n000029	155	262
n000040	85	141
n000078	328	284
n000082	181	362
n000106	12	198
n000129	282	249
n000148	243	292
n000149	468	57
n000178	44	104
n000259	6	182
n000284	273	288
n000363	408	429
n000394	186	162
n000410	31	124
n000452	73	68
n000480	24	84
n000527	88	299
n000596	47	78
n000624	172	167
n000654	122	153
n000658	340	334
n000659	387	53
n000667	235	395
n000689	380	274
n000706	263	104
n000736	253	64
n000740	202	148
n000746	262	82
n000774	204	136
n000775	126	109
n000785	478	295
n000836	38	117
n000838	191	203
n000854	65	196
n000912	124	202
n000928	185	210
n000945	245	20
n000950	75	220
n000958	369	275
n000998	79	48
n001021	123	44
n001059	163	30
n001125	48	115
n001127	35	121
n001146	270	465
n001153	24	147
n001156	279	26
n001174	42	55
n001190	348	401
n001197	22	6
n001199	25	39
n001211	152	320
n001242	166	577
n001256	196	370
n001277	214	159
n001291	170	209
n001293	92	161
n001296	17	208
n001299	100	107
n001302	140	76
n001303	131	212
n001304	177	224
n001337	185	68
n001341	81	31
n001368	4	301
n001401	258	312
n001418	63	277
n001439	232	112
n001446	217	299
n001467	17	164
n001485	393	263
n001576	202	29
n001650	153	35
n001655	291	103
n001672	133	88
n001683	180	241
n001687	22	120
n001708	134	291
n001710	153	174
n001781	298	142
n001811	163	53
n001816	91	179
n001817	182	153
n001830	530	1
n001836	90	298
n001838	260	70
n001850	48	60
n001857	75	59
n001878	431	144
n001898	61	124
n001923	45	75
n001934	184	114
n001935	90	177
n001956	297	207
n001976	12	354
n002009	77	147
n002024	75	117
n002080	203	13
n002081	32	186
n002082	206	56
n002093	167	406
n002106	227	330
n002109	99	184
n002153	198	31
n002158	79	64
n002166	36	24
n002167	107	212
n002216	1	323
n002223	236	169
n002245	78	33
n002257	56	155
n002258	143	90
n002263	44	79
n002267	219	71
n002268	197	183
n002282	89	66
n002284	82	323
n002309	169	76
n002329	35	192
n002351	201	3
n002372	74	151
n002381	56	192
n002384	1	95
n002389	321	273
n002414	218	76
n002421	82	17
n002474	266	39
n002475	215	42
n002503	340	337
n002517	224	218
n002556	60	85
n002561	43	401
n002574	414	35
n002581	173	232
n002596	7	127
n002604	161	36
n002647	38	332
n002659	65	180
n002664	317	534
n002669	306	389
n002681	2	214
n002684	546	187
n002703	253	119
n002715	341	237
n002743	292	210
n002749	7	276
n002761	256	39
n002763	124	128
n002770	54	49
n002773	98	110
n002775	170	27
n002803	321	288
n002838	190	128
n002840	56	222
n002855	72	273
n002857	192	165
n002869	311	149
n002873	164	98
n002878	243	466
n002880	77	445
n002884	44	198
n002889	137	197
n002891	17	48
n002894	51	378
n003001	340	342
n003009	91	38
n003079	237	181
n003092	212	396
n003093	164	51
n003104	45	1
n003115	178	130
n003134	47	49
n003140	232	303
n003205	277	16
n003215	51	1
n003217	27	126
n003258	260	160
n003277	20	180
n003288	91	115
n003298	3	438
n003356	147	19
n003379	86	46
n003415	117	53
n003430	31	252
n003436	53	125
n003461	323	124
n003468	145	176
n003490	66	170
n003513	231	33
n003540	268	236
n003554	228	75
n003570	101	37
n003606	382	340
n003635	128	51
n003653	558	547
n003675	298	415
n003725	67	118
n003728	28	74
n003775	370	363
n003786	66	99
n003836	390	98
n003873	54	1
n003881	149	38
n003894	204	1
n003896	182	173
n003917	12	56
n003958	168	40
n004007	136	337
n004050	101	419
n004064	221	223
n004068	70	32
n004070	106	11
n004078	106	20
n004085	143	333
n004123	98	91
n004157	175	102
n004180	87	65
n004208	44	218
n004233	220	270
n004239	216	21
n004240	225	327
n004243	333	308
n004281	23	174
n004333	312	196
n004338	94	376
n004353	379	379
n004357	106	467
n004366	236	196
n004372	42	200
n004380	54	65
n004387	36	181
n004394	72	163
n004411	199	167
n004424	22	463
n004440	240	154
n004449	142	10
n004461	208	212
n004469	68	121
n004482	22	89
n004486	132	91
n004555	204	226
n004563	154	203
n004580	30	59
n004586	97	276
n004588	132	24
n004634	354	95
n004635	171	110
n004652	285	230
n004658	83	159
n004661	230	273
n004662	260	132
n004663	121	90
n004678	83	179
n004679	393	427
n004709	457	73
n004712	63	254
n004719	301	128
n004738	502	331
n004743	250	99
n004756	417	273
n004771	371	54
n004788	92	189
n004793	243	74
n004798	203	157
n004801	97	37
n004812	7	246
n004813	298	391
n004826	241	312
n004850	21	362
n004885	272	331
n004891	277	204
n004898	83	142
n004905	270	34
n004911	383	398
n004915	190	201
n004925	130	105
n004945	168	196
n004999	36	112
n005073	176	185
n005088	147	171
n005101	142	65
n005104	395	245
n005112	153	239
n005114	170	305
n005120	238	244
n005122	77	300
n005123	141	14
n005135	218	279
n005136	33	217
n005137	41	81
n005145	140	133
n005148	100	200
n005157	152	197
n005159	147	68
n005179	141	174
n005181	297	220
n005188	381	298
n005225	63	199
n005226	83	470
n005233	188	183
n005280	92	84
n005282	229	123
n005294	66	22
n005301	180	5
n005303	23	148
n005306	176	120
n005312	439	128
n005316	3	164
n005319	129	453
n005326	124	82
n005328	191	119
n005334	510	103
n005340	60	484
n005347	221	227
n005359	110	195
n005373	106	145
n005377	199	83
n005380	13	49
n005417	304	281
n005425	58	217
n005427	57	20
n005448	208	86
n005473	192	235
n005474	3	223
n005490	144	140
n005513	177	98
n005552	211	385
n005565	258	242
n005577	58	192
n005607	291	181
n005612	123	202
n005619	41	167
n005621	129	7
n005623	156	215
n005630	21	255
n005633	148	65
n005636	258	147
n005639	139	131
n005648	329	38
n005652	243	20
n005664	193	221
n005666	78	279
n005668	64	34
n005670	310	293
n005680	8	210
n005693	136	379
n005695	27	221
n005706	358	255
n005709	296	377
n005723	484	377
n005726	144	55
n005730	69	12
n005748	14	30
n005755	157	139
n005758	49	240
n005762	159	191
n005764	322	201
n005776	78	82
n005799	104	82
n005831	243	58
n005832	41	223
n005833	94	44
n005872	46	4
n005915	105	86
n005956	258	49
n005963	3	12
n005973	10	128
n006053	346	178
n006123	233	57
n006134	308	174
n006211	227	216
n006247	325	19
n006301	194	461
n006347	23	153
n006451	3	151
n006458	266	152
n006497	9	167
n006531	174	235
n006532	73	44
n006574	366	323
n006626	190	281
n006653	39	86
n006659	93	388
n006772	77	182
n006808	7	136
n006858	11	230
n006909	184	145
n006922	290	227
n006987	35	14
n006992	73	19
n007008	277	368
n007021	131	13
n007068	6	50
n007104	237	163
n007121	199	320
n007133	29	230
n007146	259	260
n007159	22	117
n007162	235	96
n007166	2	160
n007169	169	170
n007210	87	323
n007240	209	177
n007241	6	127
n007246	308	26
n007261	247	94
n007296	62	61
n007358	125	80
n007368	103	426
n007381	36	50
n007385	101	243
n007397	80	336
n007439	193	127
n007474	289	11
n007531	337	124
n007548	270	234
n007571	85	309
n007594	8	135
n007650	57	88
n007651	131	60
n007664	71	93
n007668	30	6
n007700	95	141
n007703	170	24
n007753	425	211
n007854	131	89
n007865	63	103
n007900	325	236
n007909	124	344
n007919	324	405
n007949	172	103
n007951	7	71
n008003	316	3
n008015	127	37
n008020	132	141
n008028	18	213
n008036	215	264
n008037	85	96
n008047	228	23
n008056	50	29
n008105	99	87
n008108	92	62
n008110	75	192
n008155	69	131
n008164	421	131
n008179	165	27
n008183	86	461
n008213	285	82
n008314	228	93
n008317	44	126
n008325	92	77
n008361	21	598
n008436	398	4
n008484	176	242
n008488	129	93
n008528	225	9
n008530	498	449
n008539	212	77
n008558	164	314
n008567	59	230
n008595	257	297
n008613	323	421
n008615	172	46
n008630	166	107
n008653	164	85
n008655	80	90
n008662	10	185
n008674	118	216
n008682	193	245
n008710	219	127
n008773	289	33
n008778	35	185
n008829	235	204
n008858	133	88
n008890	335	282
n008932	197	262
n008937	459	146
n008948	219	74
n008958	480	296
n008989	360	67
n009028	407	225
n009114	70	66
n009123	413	353
n009175	74	24
n009185	425	320
n009199	60	23
n009213	296	110
n009225	306	451
n009232	342	158
n009235	325	19
n009283	61	12
n009285	1	70
n009286	162	192
n009287	178	73
n009288	38	143
n009289	22	131
n009291	30	2
n009294	122	157
n000001	155	n000040	9
n000009	59	n005621	66
n000029	179	n005157	173
n000040	157	n005776	183
n000078	170	n000785	387
n000082	230	n005123	1
n000106	196	n008948	144
n000129	220	n003554	220
n000148	347	n000774	91
n000149	8	n005762	90
n000178	62	n005145	168
n000259	378	n003415	244
n000284	49	n005347	416
n000363	247	n005636	123
n000394	158	n001156	189
n000410	181	n003379	145
n000452	304	n007753	509
n000480	202	n003554	36
n000527	49	n008028	65
n000596	232	n003379	144
n000624	126	n002664	538
n000654	184	n004424	515
n000658	284	n002659	156
n000659	488	n000149	69
n000667	367	n001817	73
n000689	278	n009285	152
n000706	210	n004353	243
n000736	22	n004007	79
n000740	116	n001811	42
n000746	86	n007241	103
n000774	196	n002475	88
n000775	123	n001401	121
n000785	504	n003379	140
n000836	54	n001710	112
n000838	221	n008773	76
n000854	11	n003215	160
n000912	313	n001190	392
n000928	23	n000746	205
n000945	244	n005666	219
n000950	75	n007668	32
n000958	101	n006053	374
n000998	129	n009235	152
n001021	167	n006922	195
n001059	218	n000667	269
n001125	76	n005565	77
n001127	141	n004357	355
n001146	137	n002257	124
n001153	78	n003958	227
n001156	136	n008530	225
n001174	5	n004555	126
n001190	284	n008989	223
n001197	26	n004338	62
n001199	327	n005179	363
n001211	39	n005513	194
n001242	230	n000078	233
n001256	427	n008056	277
n001277	47	n002475	251
n001291	353	n004372	59
n001293	214	n000838	104
n001296	60	n000148	42
n001299	71	n008989	282
n001302	175	n003775	91
n001303	109	n000736	355
n001304	45	n007068	192
n001337	37	n002351	16
n001341	141	n005607	244
n001368	2	n007664	133
n001401	49	n005607	154
n001418	167	n008778	189
n001439	147	n000740	2
n001446	93	n005104	332
n001467	129	n005513	67
